,RegionCode,Region,respondent_id,State,gender,age,internet_research,read_1,hear_1,see_1,say_1,do_1,Criticalthinking_1,groups_1,connections_1,CriticalThinking_Taught,AK_Other,Personality,IorE,ExtrovertTrue,sex,MaleTrue,CR_taught,Style,Styl
1,7,Pacific Coastal,10766938939.0,Oregon,F,39.0,3,5,5,5,5,5,5,5,5,Y,Other,8.0,E,True,0.0,False,1,kinstic,4
2,4,Mid-West,10766009477.0,South Dakota,M,31.0,5,4,2,4,2,5,4,5,5,Y,Other,6.0,I,False,1.0,True,1,kinstic,4
3,7,Pacific Coastal,10763853619.0,California,F,24.0,4,5,5,5,5,5,3,5,5,Y,Other,7.0,E,True,0.0,False,1,hear,3
4,7,Pacific Coastal,10763220974.0,Washington,M,19.0,3,5,3,4,3,4,5,4,5,N,Other,9.0,E,True,1.0,True,0,kinstic,4
5,7,Pacific Coastal,10763213928.0,California,M,21.0,5,5,5,5,5,5,5,2,4,Y,Other,6.0,I,False,1.0,True,1,hear,3
6,4,Mid-West,10761285514.0,South Dakota,F,29.0,5,5,3,2,1,1,4,5,4,Y,Other,6.0,I,False,0.0,False,1,r/wr,1
7,5,South-West,10755306163.0,Texas,F,55.0,3,5,5,5,5,5,4,4,5,Y,Other,8.0,E,True,0.0,False,1,r/wr,1
8,7,Pacific Coastal,10754912238.0,California,F,25.0,3,4,4,3,2,4,4,3,2,Y,Other,8.0,E,True,0.0,False,1,kinstic,4
9,8,Alaska,10754452170.0,Alaska,F,78.0,3,5,5,5,3,3,4,4,5,Y,AK,8.0,E,True,0.0,False,1,hear,3
10,8,Alaska,10751968320.0,Alaska,F,75.0,3,5,5,5,5,5,5,5,5,Y,AK,8.0,E,True,0.0,False,1,hear,3
12,8,Alaska,10749927788.0,Alaska,M,72.0,4,4,4,5,3,5,5,5,5,Y,AK,8.0,E,True,1.0,True,1,r/wr,1
14,8,Alaska,10747134800.0,Alaska,F,78.0,4,5,3,4,4,4,4,4,5,Y,AK,6.0,I,False,0.0,False,1,r/wr,1
15,8,Alaska,10746643155.0,Alaska,F,45.0,5,5,5,5,5,5,4,4,5,Y,AK,5.0,I,False,0.0,False,1,r/wr,1
16,4,Mid-West,10744877806.0,Wisconsin,F,40.0,5,3,2,3,5,5,5,3,5,Y,Other,6.0,I,False,0.0,False,1,kinstic,4
17,7,Pacific Coastal,10744114186.0,Oregon,F,70.0,3,5,5,5,5,5,5,3,4,Y,Other,7.0,E,True,0.0,False,1,r/wr,1
18,4,Mid-West,10743622571.0,Kansas,F,53.0,3,3,4,5,3,4,4,4,4,Y,Other,6.0,I,False,0.0,False,1,kinstic,4
19,3,Southern Region,10743387298.0,North Carolina,M,71.0,4,3,3,5,5,3,3,2,2,N,Other,6.0,I,False,1.0,True,0,kinstic,4
20,8,Alaska,10743195857.0,Alaska,F,76.0,2,5,4,4,4,4,4,3,3,N,AK,8.0,E,True,0.0,False,0,r/wr,1
22,8,Alaska,10742988052.0,Alaska,F,60.0,4,5,5,5,5,5,5,5,5,Y,AK,8.0,E,True,0.0,False,1,kinstic,4
23,8,Alaska,10742979724.0,Alaska,F,66.0,3,5,5,4,1,4,5,5,4,Y,AK,7.0,E,True,0.0,False,1,kinstic,4
24,8,Alaska,10742834458.0,Alaska,F,79.0,4,4,5,5,5,5,5,4,4,N,AK,8.0,E,True,0.0,False,0,hear,3
25,8,Alaska,10742734885.0,Alaska,F,77.0,4,5,3,4,5,5,5,5,5,Y,AK,8.0,E,True,0.0,False,1,kinstic,4
26,6,Rocky Mountain,10741174250.0,Colorado,M,32.0,5,5,4,4,5,5,4,4,4,Y,Other,8.0,E,True,1.0,True,1,kinstic,4
27,6,Rocky Mountain,10741173960.0,Colorado,F,30.0,5,4,5,5,4,5,5,4,5,Y,Other,7.0,E,True,0.0,False,1,hear,3
28,8,Alaska,10741130864.0,Alaska,F,39.0,4,4,4,4,4,4,4,4,3,N,AK,6.0,I,False,0.0,False,0,kinstic,4
29,8,Alaska,10741122088.0,Alaska,F,63.0,4,3,4,4,2,4,4,4,4,Y,AK,6.0,I,False,0.0,False,1,r/wr,1
30,8,Alaska,10740312771.0,Alaska,F,47.0,3,5,5,5,5,5,4,4,4,Y,AK,7.0,E,True,0.0,False,1,hear,3
31,8,Alaska,10740302602.0,Alaska,M,60.0,3,5,5,5,5,3,4,5,5,Y,AK,7.0,E,True,1.0,True,1,r/wr,1
32,8,Alaska,10739382034.0,Alaska,F,45.0,5,4,3,4,5,5,5,5,5,Y,AK,9.0,E,True,0.0,False,1,kinstic,4
34,3,Southern Region,10736729444.0,Florida,F,53.0,3,3,3,3,3,3,3,3,3,Y,Other,7.0,E,True,0.0,False,1,kinstic,4
35,1,New England,10735250874.0,Pennsylvania,M,37.0,3,4,4,4,3,4,4,3,4,Y,Other,7.0,E,True,1.0,True,1,kinstic,4
36,3,Southern Region,10734537894.0,Georgia,F,50.0,4,3,5,5,5,5,5,4,4,Y,Other,6.0,I,False,0.0,False,1,kinstic,4
37,7,Pacific Coastal,10734018452.0,California,F,55.0,4,4,4,5,3,4,3,5,4,Y,Other,6.0,I,False,0.0,False,1,kinstic,4
38,8,Alaska,10734014732.0,Alaska,F,67.0,4,5,3,5,3,4,3,5,5,Y,AK,6.0,I,False,0.0,False,1,kinstic,4
39,5,South-West,10733973779.0,Oklahoma,F,32.0,5,5,3,5,3,3,5,5,5,Y,Other,6.0,I,False,0.0,False,1,r/wr,1
40,7,Pacific Coastal,10733902396.0,Washington,F,35.0,4,4,5,5,5,5,5,5,5,Y,Other,6.0,I,False,0.0,False,1,see,2
41,3,Southern Region,10733683381.0,South Carolina,M,29.0,5,5,3,5,4,4,5,5,5,Y,Other,8.0,E,True,1.0,True,1,kinstic,4
42,7,Pacific Coastal,10733376528.0,Oregon,M,68.0,4,4,4,4,2,5,4,4,5,Y,Other,7.0,E,True,1.0,True,1,kinstic,4
43,7,Pacific Coastal,10732620174.0,California,F,32.0,4,5,5,5,4,4,5,5,5,Y,Other,6.0,I,False,0.0,False,1,hear,3
44,7,Pacific Coastal,10731202101.0,California,M,40.0,4,5,5,5,5,5,5,5,5,Y,Other,8.0,E,True,1.0,True,1,hear,3
45,8,Alaska,10731099077.0,Alaska,F,51.0,4,5,5,5,5,5,5,5,5,Y,AK,6.0,I,False,0.0,False,1,kinstic,4
46,7,Pacific Coastal,10731037174.0,Washington,F,52.0,4,2,4,4,5,5,5,5,5,N,Other,5.0,I,False,0.0,False,0,kinstic,4
47,7,Pacific Coastal,10730993382.0,Washington,F,51.0,4,5,3,4,1,2,5,5,3,N,Other,6.0,I,False,0.0,False,0,r/wr,1
49,6,Rocky Mountain,10730978848.0,Idaho,M,27.0,4,3,4,5,5,5,5,5,5,Y,Other,6.0,I,False,1.0,True,1,see,2
50,7,Pacific Coastal,10730917653.0,Oregon,F,53.0,3,5,5,4,3,5,4,3,5,Y,Other,9.0,E,True,0.0,False,1,r/wr,1
51,7,Pacific Coastal,10730878937.0,Washington,F,47.0,3,4,4,5,4,4,4,4,4,Y,Other,8.0,E,True,0.0,False,1,see,2
52,3,Southern Region,10730877700.0,North Carolina,F,66.0,4,5,4,4,4,4,4,4,4,Y,Other,8.0,E,True,0.0,False,1,r/wr,1
53,8,Alaska,10730661760.0,Alaska,F,78.0,3,5,5,5,5,5,3,5,5,Y,AK,9.0,E,True,0.0,False,1,r/wr,1
55,6,Rocky Mountain,10730390893.0,Nevada,F,67.0,4,5,5,5,5,5,5,5,5,Y,Other,8.0,E,True,0.0,False,1,r/wr,1
56,7,Pacific Coastal,10730357151.0,Oregon,F,73.0,4,5,5,5,5,5,5,4,5,Y,Other,7.0,E,True,0.0,False,1,kinstic,4
57,8,Alaska,10730346698.0,Alaska,F,55.0,4,5,3,5,5,5,5,5,5,Y,AK,6.0,I,False,0.0,False,1,kinstic,4
58,5,South-West,10730341758.0,Texas,F,39.0,4,5,5,5,4,5,5,4,4,Y,Other,6.0,I,False,0.0,False,1,see,2
59,8,Alaska,10730279609.0,Alaska,M,34.0,4,4,1,3,3,5,5,4,4,Y,AK,8.0,E,True,1.0,True,1,kinstic,4
