Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Are you eighteen years of age or older?,,What is the state in which you live?,What is the city  in which you live?,What is your gender?,What is your age?  ,Do you feel tired or energized after being with people?,Do you prefer many relationships or a few close friends?,When you are alone does that drain you or energize you?,Do you prefer to work alone with few interruptions or on a team?,Do you prefer large group activities or small social events?,"On a scale of 1 to 5, 1 being not at all and 5 being an expert, how well do you think you can research topics on the internet?","Please rate on a scale of 1 to 5, 1 being not at all important and 5 being very important, how you important are the following to your learning?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do you believe critical thinking can be taught?,"When visiting the doctor for a medical issue, what helps you understand your condition the very best?:",When putting together a piece of furniture what do you do first:,"When needing to remember particular points in a discussion, what helps you remember the best? ","If you were going to change the oil in your car and you had no prior knowledge of how to do it, would you:","When relaxing, would you be most likely to:","If you were going to buy a book for an 8-year-old child, would you buy:","You need to learn a new program for editing pictures, so you:","If you are going to the museum, would you be most likely to: ","You are going to an escape room, a scenario in which you use clues to get you out of a room in a certain amount of time. When the time starts, would you be most likely to:","At work there is a meeting that is about the past year’s performance. In leading the meeting, you:	","When it comes to planning for a vacation, you prefer to talk to someone who has:",When you are confused about what to do you:,You want to know how to spell the word conscience. Would you be most likely to?:,"At a restaurant, when ordering do you:","When learning from a text book, do you","When learning about history, which did you like best? "
,,,,,,,,,Yes,No,Open-Ended Response,Open-Ended Response,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,What you read - 1 - Not important,What you read - 2,What you read - 3,What you read - 4,What you read - 5 Very important,What you hear - 1 - Not important,What you hear - 2,What you hear - 3,What you hear - 4,What you hear - 5 Very important,What you see - 1 - Not important,What you see - 2,What you see - 3,What you see - 4,What you see - 5 Very important,What you say - 1 - Not important,What you say - 2,What you say - 3,What you say - 4,What you say - 5 Very important,What you do - 1 - Not important,What you do - 2,What you do - 3,What you do - 4,What you do - 5 Very important,Critical thinking - 1 - Not important,Critical thinking - 2,Critical thinking - 3,Critical thinking - 4,Critical thinking - 5 Very important,"Organizing information into meaningful groups, chunks, or concepts - 1 - Not important","Organizing information into meaningful groups, chunks, or concepts - 2","Organizing information into meaningful groups, chunks, or concepts - 3","Organizing information into meaningful groups, chunks, or concepts - 4","Organizing information into meaningful groups, chunks, or concepts - 5 Very important",Making connections between the information you’re trying to learn and what you already know - 1 - Not important,Making connections between the information you’re trying to learn and what you already know - 2,Making connections between the information you’re trying to learn and what you already know - 3,Making connections between the information you’re trying to learn and what you already know - 4,Making connections between the information you’re trying to learn and what you already know - 5 Very important,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
10766938939,233154035,5/30/2019 14:15,5/30/2019 14:20,47.28.33.91,,,,,Yes,,Oregon,La Grande,Female,39,Energized,Few,It energizes me,On a team,Small social events,3,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Read an information pack,Look at the diagrams,Talk with others who were in the discussion,Watch a video on the internet as you do it,Go on a hike,A science book with things to do,Listen to a video on line,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Discuss the situations with friends,Sound it out,Choose something you have had before,Draw from previously -learned material,Discussing the subject with others
10766009477,233154035,5/30/2019 8:04,5/30/2019 8:19,208.107.64.56,,,,,Yes,,South Dakota,Rapid City,Male,31,Tired,Few,It energizes me,Alone,Small social events,5 - Expert,,,,4,,,2,,,,,,,4,,,2,,,,,,,,5 Very important,,,,4,,,,,,5 Very important,,,,,5 Very important,Yes,View on a human body model,Look at the diagrams,Real life examples,Watch a video on the internet as you do it,Read a book,An adventure book with few images,Just start using the program,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down",Make a charts and graphs,Experience,Give attention to how the situation is affecting everyday life,Write it out,Read the descriptions,Draw from previously -learned material,Detailed stories
10763853619,233154035,5/29/2019 14:18,5/29/2019 14:28,66.189.171.47,,,,,Yes,,California,Redding,Female,24,Energized,Few,It energizes me,Alone,Small social events,4,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,3,,,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Read the instructions,Talk with others who were in the discussion,Call a friend who has changed oil before,Listen to music,A science book with things to do,Just start using the program,Get a map,"Find charts, puzzle pieces, look at pictures",Listen and discuss,Experience,Discuss the situations with friends,See the word in your mind,Look at the pictures,Highlight the words,Discussing the subject with others
10763220974,233154035,5/29/2019 9:52,5/29/2019 9:57,69.55.211.86,,,,,Yes,,Washington,Burlington,Male,19,Energized,Many,It drains me,On a team,Large group activities,3,,,,,5 Very important,,,3,,,,,,4,,,,3,,,,,,4,,,,,,5 Very important,,,,4,,,,,,5 Very important,No,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Call a friend who has changed oil before,Listen to music,A picture book,Listen to a video on line,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down",Recall past experiences and things that happen,Experience,Give attention to how the situation is affecting everyday life,Write it out,Ask a friend or waiter what is best,Take notes,Detailed stories
10763213928,233154035,5/29/2019 9:50,5/29/2019 9:56,12.183.161.34,,,,,Yes,,California ,Redding ,Male,21,Energized,Few,It drains me,Alone,Small social events,5 - Expert,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,2,,,,,,,4,,Yes,Have the doctor describe what is wrong,Just start putting it together,Real life examples,Call a friend who has changed oil before,Read a book,An adventure book with few images,Just start using the program,Just walk and enjoy whatever path you take,"Find charts, puzzle pieces, look at pictures",Recall past experiences and things that happen,Discussion points,Use a pros and cons list,Look it up in the dictionary,Look at the pictures,Discuss with other students,Discussing the subject with others
10761285514,233154035,5/28/2019 16:50,5/28/2019 16:59,208.107.64.56,,,,,Yes,,South Dakota,Box Elder,Female,29,Tired,Few,It energizes me,Alone,Small social events,5 - Expert,,,,,5 Very important,,,3,,,,2,,,,1 - Not important,,,,,1 - Not important,,,,,,,,4,,,,,,5 Very important,,,,4,,Yes,Have the doctor describe what is wrong,Read the instructions,Writing down the key points,Call a friend who has changed oil before,Read a book,An adventure book with few images,Just start using the program,Just walk and enjoy whatever path you take,"Flip knobs, push buttons and flip over everything that is not nailed down","Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Use a pros and cons list,Look it up in the dictionary,Read the descriptions,Take notes,Detailed stories
10755306163,233154035,5/25/2019 5:02,5/25/2019 5:08,76.251.192.18,,,,,Yes,,Texas,Lubbock,Female,55,Energized,Few,It energizes me,On a team,Small social events,3,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,4,,,,,4,,,,,,5 Very important,Yes,View a diagram,Read the instructions,Writing down the key points,Watch a video on the internet as you do it,Read a book,A science book with things to do,Listen to a video on line,Just walk and enjoy whatever path you take,"Find charts, puzzle pieces, look at pictures",Make a charts and graphs,Experience,Discuss the situations with friends,Look it up in the dictionary,Read the descriptions,Highlight the words,Written Facts
10754912238,233154035,5/24/2019 17:27,5/24/2019 19:51,209.159.177.224,,,,,Yes,,California,Redding,Female,25,Energized,Many,It energizes me,Alone,Small social events,3,,,,4,,,,,4,,,,3,,,,2,,,,,,,4,,,,,4,,,,3,,,,2,,,,Yes,Have the doctor describe what is wrong,Look at the diagrams,Writing down the key points,Watch a video on the internet as you do it,Listen to music,A picture book,Just start using the program,Just walk and enjoy whatever path you take,"Look in books, signs and letter for clues",Make a charts and graphs,Experience,Discuss the situations with friends,Look it up in the dictionary,Ask a friend or waiter what is best,Highlight the words,Detailed stories
10754452170,233154035,5/24/2019 12:34,5/24/2019 12:47,68.0.181.120,,,,,Yes,,Alaska,Eagle River,Female,78,Energized,Many,It drains me,On a team,Small social events,3,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,3,,,,,3,,,,,,4,,,,,4,,,,,,5 Very important,Yes,View a diagram,Read the instructions,Writing down the key points,Watch a video on the internet as you do it,Listen to music,A book that ask questions,Read the help topics in the program,Just walk and enjoy whatever path you take,Listen to the sounds and what people are saying,Listen and discuss,Experience,Give attention to how the situation is affecting everyday life,Write it out,Read the descriptions,Highlight the words,Discussing the subject with others
10751968320,233154035,5/23/2019 13:27,5/23/2019 13:47,72.35.127.27,,,,,Yes,,ALASKA,PALMER,Female,75,Energized,Many,It energizes me,Alone,Small social events,3,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,,,,,5 Very important,Yes,Have the doctor describe what is wrong,Look at the diagrams,Writing down the key points,Call a friend who has changed oil before,Read a book,A book that ask questions,Read the help topics in the program,Read information before you get there so you know exactly what you want to see,Listen to the sounds and what people are saying,"Use a strategy tool like SWOT that identifies though discussion the Strengths, Weaknesses, Opportunities and Threats for the next year’s performance",Experience,Give attention to how the situation is affecting everyday life,Sound it out,Choose something you have had before,Highlight the words,Detailed stories
10751683072,233154035,5/23/2019 11:25,5/23/2019 11:36,108.240.226.173,,,,,Yes,,Texas,Amarillo,Female,85,,Many,,Alone,Small social events,2,,,3,,,,2,,,,,,3,,,,,3,,,,,3,,,,2,,,,,,,,,,,3,,,,Read an information pack,Read the instructions,Talk with others who were in the discussion,Call a friend who has changed oil before,,A picture book,,Get a map,,Listen and discuss,Facts,Give attention to how the situation is affecting everyday life,Look it up in the dictionary,Choose something you have had before,Take notes,
